Title,Link,abstract
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,本研究は、ロシアが16年ぶりに再開した宇宙生物医学研究プログラムの一環として、Bion-M 1バイオサテライトに搭乗したマウスを用いて、微小重力環境下での生理機能の適応メカニズムを細胞・分子レベルで解明することを目的としています。実験では、宇宙飛行中および帰還後に行う連続的な血圧測定や行動観察などのin vivo測定と、帰還直後および回復期に実施したin vitro解析を組み合わせ、筋肉や骨、心血管系、神経系の機能変化を詳細に追跡しました。マウスの訓練・選抜プログラムでは、攻撃性の高い雄マウスの群飼育適応や宇宙食ペーストへの慣れを促し、行動・機能検査を通じて均質な実験群を形成したことが報告されており、これにより宇宙環境下でのマウスの健康維持とデータの信頼性が確保されました。結果として、飛行後のマウスは地球重力への再適応過程に特徴的な生理的変化を示し、訓練プログラムの有効性が確認されたことから、雄マウスは宇宙生物医学研究に適したモデル動物であると結論づけられています。
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,本研究は、宇宙空間の微小重力環境が骨の恒常性に与える影響を明らかにすることを目的とし、特に骨吸収を担う破骨細胞だけでなく、骨細胞（オステオサイト）による骨溶解や骨芽細胞の細胞周期停止が骨量減少に寄与するかを検証しました。16週齢のメスマウスを15日間スペースシャトルSTS-131ミッションで微小重力に曝露し、骨の構造解析や遺伝子発現を調べた結果、骨量や骨厚の有意な減少とともに、破骨細胞活性の増加に加え、オステオサイトの骨溶解を示す骨小腔の拡大やマトリックスメタロプロテイナーゼ（MMP）遺伝子の発現上昇が認められました。また、骨芽細胞において細胞周期阻害因子CDKN1a/p21の発現が増加し、細胞増殖の抑制とアポトーシス抵抗性の獲得が示唆されました。これらの結果から、微小重力下での骨量減少は破骨細胞による骨吸収だけでなく、オステオサイトの骨溶解活性化や骨芽細胞の細胞周期停止も重要なメカニズムであることが示され、宇宙環境における骨代謝異常の理解と対策開発に新たな知見を提供しています。
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,本研究は、宇宙空間の無重力環境がヒトの細胞や組織再生に及ぼす影響を明らかにすることを目的としています。無重力は免疫系の機能低下やがん細胞の三次元塊形成促進、さらには幹細胞の分化経路の変化を通じて、組織再生や代謝機能に大きな影響を与えることが観察されました。特に、心筋細胞の成熟促進や骨代謝の異常など、臓器レベルでの多様な生理変化が確認され、これらは長期宇宙滞在時の健康リスクと再生医療の新たな応用可能性を示唆しています。これらの成果は、宇宙医学だけでなく地上のがん治療や免疫疾患、再生医療の発展にも貢献するものであり、無重力環境下での細胞生物学的研究の継続が重要であることを示しています。
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,本研究は、成人由来の脂肪幹細胞（hASCs）が持つ再生医療への応用可能性を高めるため、微小重力環境下での培養法を検討したものです。具体的には、撹拌可能な微小球（ミクロスフェア）に細胞を付着させ、二軸回転によって重力の影響を最小化することで、幹細胞の未分化状態（幹細胞性）を維持しつつ、増殖や多分化能を促進する方法を開発しました。その結果、微小重力条件下で培養したhASCsは、幹細胞マーカーSSEA-3陽性細胞の割合と数が通常培養の約4倍に増加し、幹細胞性を示す遺伝子発現も高まることが確認されました。これらの成果は、宇宙環境における重力の低減が幹細胞の性質に与える影響を示すとともに、微小重力を模擬した新たな培養技術が成人幹細胞の機能的な増殖と再生医療への応用に貢献する可能性を示唆しています。
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,本研究は、国際宇宙ステーション（ISS）上での微小重力環境下において、RNA抽出と多重定量的リアルタイムPCR（RT-qPCR）による遺伝子発現解析を可能にする新規システム「WetLab-2」の検証を目的としています。実験では、凍結保存された大腸菌やマウス肝臓組織からのRNAをISS内で抽出・精製し、DNA標準物質を用いた定量PCRおよびRNAを用いたRT-qPCRを実施しました。その結果、ISS上で得られたPCRの閾値（Ct値）や効率は地上の対照実験とほぼ同等であり、約3時間で多重遺伝子発現解析が成功し、データは実験終了後2時間以内に地上へ送信されました。微小重力下での熱サイクル中に試料管内で気泡が発生しCt値のばらつきが生じたものの、圧力をかける改良により気泡問題は解決され、WetLab-2はISSでの分子生物学的解析を自律的かつ迅速に行う新たな技術基盤として有望であることが示されました。
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,本研究は、宇宙空間の微小重力環境が心臓の分子レベルでの遺伝子発現に与える影響を明らかにすることを目的としました。15日間の宇宙飛行を経たマウスの心室組織を用い、酸化ストレス応答や細胞周期に関連する遺伝子の発現を定量PCRで解析したところ、酸化ストレス増加を示唆するNfe2l2（Nrf2）の発現低下やNox1の上昇、さらに細胞周期制御遺伝子Cdkn1a（p21）やMycの顕著な発現上昇が認められました。一方で、アポトーシス関連遺伝子Trp53の変化は見られず、これらの結果は宇宙飛行が心臓の赤oxバランスや細胞周期制御に影響を及ぼし、酸化ストレスを介した心機能障害の一因となりうることを示しています。したがって、宇宙環境特有の微小重力が心臓の分子応答を変化させ、心血管系の適応や障害に寄与する可能性が示唆されました。
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,本研究は、宇宙放射線が骨格系に及ぼす影響、特に骨形成能（骨芽細胞の分化）と酸化ストレス応答の関係を明らかにすることを目的としています。マウスを用いて、低線性能量伝達（LET）の陽子線と高LETの56Feイオンを異なる線量で照射し、骨の微細構造や骨髄由来の骨芽細胞前駆体の分化能、酸化ストレス関連遺伝子の発現を解析しました。その結果、200 cGyの高線量56Feイオン照射のみが骨量減少と骨芽細胞分化の著しい抑制を引き起こし、同時に抗酸化酵素CatalaseやDNA損傷応答遺伝子Gadd45の発現上昇を伴うことが示されました。一方、50 cGy以下の低線量照射では骨構造や遺伝子発現に顕著な変化は認められず、これらの結果は宇宙放射線の線種と線量依存的な骨への影響を示唆しており、長期的な宇宙飛行における骨健康リスク評価に重要な知見を提供しています。
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,本研究は、NASAの生命科学分野における基礎研究から実用的な探査医療への橋渡し（トランスレーショナルリサーチ）を推進することを目的としています。宇宙環境下での人間の健康維持や長期有人探査・居住ミッションの成功に向けて、NASA内外の複数の研究機関や専門分野が連携し、基礎研究の成果を迅速に応用へと展開する取り組みが紹介されています。具体的には、初期段階の研究事例を挙げながら、今後の協働研究の方向性や課題について議論しています。これにより、宇宙飛行士の健康管理やミッション遂行能力の向上を目指すNASAの目標達成が加速されることが期待されます。
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,本研究は、小動物の椎骨の骨質を評価するために、繰り返し荷重（サイクリックローディング）に対する骨の応答を高精度で測定する新しい方法を開発することを目的としています。マウスの椎骨は非常に小さく、従来の方法では機械のたわみなどによる誤差が大きかったため、3Dプリントによる支持具の作製や、試料表面に均一な荷重をかけるための可動式荷重板、さらに個々の試料の剛性をマイクロCTと有限要素解析で評価し、同一のひずみレベルを与える力を正確に設定する手法を導入しました。この新手法を用いて、従来法と比較したところ、疲労寿命のばらつきが最大5倍も低減し、骨の力学的特性の再現性が大幅に向上しました。これにより、小動物骨の生体力学的評価の精度が高まり、宇宙環境など骨に繰り返し負荷がかかる状況下での骨質変化の理解に貢献すると期待されます。
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,"本研究は、イオン化放射線が骨のコラーゲン構造と機械的特性に及ぼす影響を、細胞活動の影響を排除したex vivo条件でマウスの腰椎を用いて調べることを目的としています。具体的には、異なる放射線量（0〜35,000 Gy）を照射し、コラーゲンの断片化や非酵素的架橋形成の程度と、単調および繰り返し圧縮負荷下での骨の強度を測定しました。その結果、骨の強度低下は高線量（17,000 Gy以上）でのみ認められ、これはコラーゲン断片化の発生と一致していた一方で、非酵素的架橋は全線量で増加したものの強度低下とは関連しませんでした。これらの結果から、イオン化放射線による骨の脆弱化はコラーゲンの断片化が主因であることが示され、放射線治療や骨移植用の滅菌過程における骨材質の劣化メカニズム理解に重要な知見を提供しています。"
